CAS,CID,SMILES,Formula,MolWt,LogP,TPSA,NumHDonors,NumHAcceptors,NumRings,FlashPoint_C,LFL_percent,UFL_percent,HeatOfComb_kJ_mol,BoilingPoint_C,MeltingPoint_C,AutoignitionTemp_C,VaporPressure_mmHg,Density_g_cm3,Y_NFPA_Health,Y_NFPA_Fire,Y_NFPA_React,Y_GHS_Signal,Y_GHS_H_Codes
64-19-7,176,CC(=O)O,C2H4O2,60.05200000000001,0.0909,37.3,1,1,0,104.0,5.4,16.0,874.2,244.0,61.9,961.0,11.4,1.051,3.0,2.0,0.0,Danger,"H226, H303, H312, H314, H318, H334, H370, H371"
64-31-3,16051935,CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(C=C4)O.CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(C=C4)O.OS(=O)(=O)O,C34H40N2O10S,668.7650000000007,1.7434000000000005,180.46,6,10,10,,,,,,,,,,,,,Warning,"H302, H351, H361"
64-67-5,6163,CCOS(=O)(=O)OCC,C4H10O4S,154.18699999999998,0.3042000000000001,52.60000000000001,0,4,0,220.0,4.1,,,409.0,-12.0,817.0,0.21,1.1803,3.0,1.0,1.0,Danger,"H302, H311, H312, H314, H318, H331, H332, H340, H350, H371, H412"
640-15-3,12541,CCSCCSP(=S)(OC)OC,C6H15O2PS3,246.359,2.990000000000001,18.46,0,5,0,,,,,110.0,,,1.7e-05,1.209,,,,Danger,"H300, H301, H310, H312, H316, H318, H370, H373, H401, H411"
640-19-7,12542,C(C(=O)N)F,C2H4FNO,77.05799999999999,-0.5588,43.09,1,1,0,,,,,1998.0,225.0,,0.99,,,,,Danger,"H300, H310, H311, H330, H361, H371"
6402-36-4,5283028,C(CCCCC(=O)O)CCCC=CC(=O)O,C12H20O4,228.28799999999995,2.832600000000001,74.6,2,2,0,,,,,,165.5,,,,,,,Warning,"H315, H319, H335"
64051-27-0,6437965,CCCCCCCCC=CCCCCCCCCOP(=O)(O)OCCCCCCCCC=CCCCCCCCC,C36H71O4P,598.934,13.194999999999974,55.760000000000005,1,3,0,,,,,,,,,,,,,Danger,"H315, H318"
64051-29-2,6335850,CCCCCCCCC=CCCCCCCCCO[P+](=O)OCCCCCCCCC=CCCCCCCCC,C36H70O3P+,581.9270000000001,13.751999999999972,35.53,0,3,0,,,,,,,,,,,,,Danger,"H302, H312, H315, H318, H341, H361"
64051-38-3,116456,CCCCCC1=C(C(=CC=C1)OP(=O)(O)OC2=CC=CC(=C2CCCCC)CCCCC)CCCCC,C32H51O4P,530.7300000000005,10.175599999999996,55.760000000000005,1,3,2,,,,,,,,,,,,,Danger,"H226, H314, H317, H318, H411"
64051-79-2,2723962,C1CC(CNC1)O.Cl,C5H12ClNO,137.61,0.1524999999999999,32.26,2,2,1,,,,,,,,,,,,,Warning,"H315, H319, H335"
6406-37-7,135502248,CC1=CC(=CC(=C1O)C(=O)O)N=NC2=CC=C(C=C2)N=NC3=CC=C(C=C3)S(=O)(=O)O.[Na+],C20H16N4NaO6S+,463.4270000000001,2.4803200000000016,161.33999999999995,3,8,3,,,,,,,,,,,,,Warning,"H315, H319"
6406-56-0,135404999,C1=CC=C2C(=C1)C=CC(=C2N=NC3=CC=C(C=C3)N=NC4=CC=C(C=C4)S(=O)(=O)[O-])O.[Na+],C22H15N4NaO4S,454.44300000000015,3.284300000000005,126.87,1,8,4,,,,,,,,,,,,,,H412
6408-29-3,136496748,CC1=C(C(=O)N(N1)C2=CC=CC=C2)N=NC3=C(C=C(C4=CC=CC=C43)S(=O)(=O)[O-])O.CC1=NN(C(=C1N=NC2=C(C=C(C3=CC=CC=C32)S(=O)(=O)[O-])O)O)C4=CC=CC=C4.[Na+].[Na+].[Cr],C40H30CrN8Na2O10S2,944.8360000000002,1.7224400000000029,280.14000000000004,4,15,8,,,,,,,,,,,,,Warning,"H319, H412"
6408-50-0,80834,CC1=CC(=CC=C1)NC2=C3C(=C(C=C2)NC)C(=O)C4=CC=CC=C4C3=O,C22H18N2O2,342.3980000000001,4.555720000000004,58.2,2,4,4,,,,,,,,,,,,,Warning,"H315, H317, H319, H335, H413"
64091-91-4,47289,CN(CCCC(=O)C1=CN=CC=C1)N=O,C10H13N3O2,207.233,1.6577,62.63,0,4,1,,,,,,151.0,,,1.0,,,,Danger,"H301, H317, H351"
64114-42-7,163035,CCCCOP(=O)([O-])[O-].[Na+].[Na+],C4H9Na2O4P,198.066,-6.3602,72.42,0,4,0,,,,,,,,,,,,,Danger,"H315, H318"
64157-14-8,168006380,[H+].CCCCCCCCCCCCCOP([O-])OCCCCCCCCCCCCC.CCCCCCCCCCCCCOP([O-])OCCCCCCCCCCCCC.CCC(C[O-])(COCC=C)COCC=C.CCC(C[O-])(COCC=C)COCC=C.CCC(C[O-])(COCC=C)COCC=C.CCC(C[O-])(COCC=C)COCC=C.[Ti+4],C100H193O18P2Ti-,1793.441,23.160800000000027,249.11999999999995,0,18,0,,,,,,,,,,,,,Warning,"H315, H319, H335"
6416-66-6,160832,CC1=CC=C(C=C1)S(=O)(=O)NC2=C3C(=CC(=C2)S(=O)(=O)[O-])C=C(C(=C3O)N=NC4=C(C=CC(=C4)Cl)OC5=CC=CC=C5)S(=O)(=O)[O-].[Na+].[Na+],C29H20ClN3Na2O10S3,748.1240000000004,0.33192,214.75,2,12,5,,,,,,,,,,,,,,H411
642-31-9,69504,C1=CC=C2C(=C1)C=C3C=CC=CC3=C2C=O,C15H10O,206.244,3.805500000000002,17.07,0,1,3,,,,,,,,,,,,,Warning,"H302, H312, H315, H319, H332, H335"
642-72-8,12555,CN(C)CCCOC1=NN(C2=CC=CC=C21)CC3=CC=CC=C3,C19H23N3O,309.413,3.4151000000000016,30.29,0,3,3,,,,,,320.0,,,,,,,Warning,H302
6420-44-6,22927,CC1=C(C=CC(=C1)S(=O)(=O)[O-])N=NC2=C(C=C3C=C(C=CC3=C2O)NC(=O)NC4=CC5=CC(=C(C(=C5C=C4)O)N=NC6=CC=CC=C6OC)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+],C35H25N6Na3O13S3,902.7850000000004,-2.07968,311.86,4,17,6,,,,,,,,,,,,,Warning,"H315, H319, H335, H351"
64211-46-7,9556529,C1=CC(=C(C=C1Cl)Cl)CON=C(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl.[N+](=O)(O)[O-],C18H14Cl4N4O4,492.1460000000001,5.770100000000005,102.78,1,5,3,,,,,,,,,,,,,Warning,"H302, H332"
6423-43-4,22933,CC(CO[N+](=O)[O-])O[N+](=O)[O-],C3H6N2O6,166.08899999999997,-0.2085,104.74,0,6,0,,,,,121.0,18.0,,0.07,1.23,,,,Danger,"H301, H302, H370, H371, H372, H373"
64240-64-8,3017505,CCCCCCC(C)OC(=O)C1=CC=C(C=C1)OC(=O)C2=CC=C(C=C2)OCCCCCC,C28H38O5,454.6070000000004,7.380600000000007,61.83,0,5,2,,,,,,,,,,,,,,H413
64248-56-2,123557,C1=CC(=C(C(=C1)F)Br)F,C6H3BrF2,192.98999999999995,2.7273000000000005,0.0,0,0,1,,,,,,,,,,,,,Warning,"H226, H315, H319, H335"
64249-01-0,91687,CC(C)N(C1=CC=C(C=C1)Cl)C(=O)CSP(=S)(OC)OC,C13H19ClNO3PS2,367.86000000000007,4.331900000000004,38.77,0,5,1,,,,,,,,,,,,,Warning,H302
6425-39-4,80900,C1COCCN1CCOCCN2CCOCC2,C12H24N2O3,244.33499999999992,-0.3326,34.17,0,5,2,,,,,,,,5.17,,,,,Warning,"H315, H319"
64253-30-1,93351,CCCCCCCCCCCCSCCC(=O)OCCOCCOCCOCCOC(=O)CCSCCCCCCCCCCCC,C38H74O7S2,707.1369999999997,10.211,80.29000000000002,0,9,0,,,,,,,,,,,,,Warning,"H400, H410"
64257-84-7,47326,CC1(C(C1(C)C)C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C,C22H23NO3,349.4300000000001,5.268980000000004,59.32000000000001,0,4,3,,,,,,45.0,,5.48e-06,1.15,,,,Danger,"H301, H312, H320, H330, H361, H371, H373, H400, H410"
64275-73-6,5352837,CCC=CCCCCO,C8H16O,128.215,2.1152,20.23,1,1,0,,,,,95.0,,,,0.84,,,,Danger,"H315, H318"
6428-31-5,135430271,C1=CC(=CC=C1N=NC2=C(C=C(C=C2)N)N)N=NC3=C(C4=C(C(=C(C=C4C=C3S(=O)(=O)[O-])S(=O)(=O)[O-])N=NC5=CC=C(C=C5)N=NC6=C(C=C(C=C6)N)N)N)O.[Na+].[Na+],C34H27N13Na2O7S2,839.7879999999998,1.934200000000004,363.61,6,20,6,,,,,,,,,,,,,Warning,"H315, H319, H335"
643-43-6,221513,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])CC(=O)O,C8H6N2O6,226.14399999999995,1.1300999999999997,123.58,1,5,1,,,,,,,,6.1e-07,,,,,Warning,"H315, H319, H335"
643-58-3,12563,CC1=CC=CC=C1C2=CC=CC=C2,C13H12,168.239,3.662020000000002,0.0,0,0,2,-170.0,,,,255.3,2.0,,0.3,-170.0,0.0,1.0,1.0,Warning,"H315, H319, H335"
643-79-8,4807,C1=CC=C(C(=C1)C=O)C=O,C8H6O2,134.13399999999996,1.3116,34.14,0,2,1,132.0,,,,83.0,55.8,,0.0052,20.0,,,,Danger,"H228, H301, H314, H315, H317, H318, H334, H335, H370, H372, H373, H400, H410"
64338-16-5,631596,CC1(CC2(CC(N1)(C)C)C(=O)NC3(O2)CCCCCCCCCCC3)C,C22H40N2O2,364.5740000000002,4.813200000000004,50.36,2,3,3,,,,,,,,,,,,,Danger,"H318, H332, H373, H400, H410"
6434-78-2,5364590,CCCCCCC=CC,C9H18,126.24299999999998,3.5329000000000024,0.0,0,0,0,,,,,,,,,,,,,Warning,H226
64354-92-3,110608,CC(C)CCCCCCCOCCC#N,C13H25NO,211.349,3.913280000000003,33.02,0,2,0,,,,,,,,,,,,,Danger,"H350, H411"
64359-81-5,91688,CCCCCCCCN1C(=O)C(=C(S1)Cl)Cl,C11H17Cl2NOS,282.236,4.577100000000004,22.0,0,2,1,,,,,,40.0,,7.4,1.28,,,,Danger,"H302, H312, H314, H317, H318, H330, H331, H335, H336, H371, H373, H400, H410"
64365-11-3,5462310,C,C,16.043,0.6361,0.0,0,0,0,,,,,3642.0,3500.0,,1.0,0.45,,,,Warning,"H319, H335"
64381-99-3,65230,CCN(CC)C1=CC2=C(C=C1)C(=C3C=CC(=[N+](CC)CC)C=C3O2)C4=CC=CC=C4C(=O)O.CC(=O)[O-],C30H34N2O5,502.61100000000033,4.317200000000002,96.82,1,5,4,,,,,,,,,,,,,Danger,"H318, H319, H412"
6439-53-8,135548088,CN1C2=CC=CC=C2C(=C(C1=O)N=NC3=CC(=CC=C3)[N+](=O)[O-])O,C16H12N4O4,324.29600000000005,3.5677000000000025,110.09,1,6,3,,,,,,,,,,,,,,H411
644-49-5,12571,CCCOC(=O)C(C)C,C7H14O2,130.18699999999995,1.5956,26.3,0,2,0,,,,,133.0,,,,0.86,,,,Warning,H226
644-64-4,12572,CC1=CC(=NN1C(=O)N(C)C)OC(=O)N(C)C,C10H16N4O3,240.263,0.78162,67.67,0,4,1,,,,,392.0,154.0,,0.0001,,,,,Danger,"H301, H312, H400, H410"
644-97-3,12573,C1=CC=C(C=C1)P(Cl)Cl,C6H5Cl2P,178.986,3.101400000000001,0.0,0,0,1,215.0,,,-8.0,430.0,-60.0,319.0,,1.14,,,,Danger,"H290, H301, H302, H314, H318, H335"
6440-58-0,22947,CC1(C(=O)N(C(=O)N1CO)CO)C,C7H12N2O4,188.183,-1.0712,81.08000000000001,2,4,1,,,,,198.0,90.0,,9e-08,0.4,,,,Warning,"H302, H315, H317, H319, H334"
6441-82-3,6538422,CCN(CCCl)C1=CC(=C(C=C1)C=CC2=[N+](C3=CC=CC=C3C2(C)C)C)C.[Cl-],C24H30Cl2N2,417.4240000000002,2.783520000000001,6.25,0,1,3,,,,,,,,,,,,,Danger,"H302, H318, H410"
6441-93-6,80916,CC1=CC=CC=C1N=NC2=C(C3=C(C=C(C=C3C=C2S(=O)(=O)[O-])S(=O)(=O)[O-])NC(=O)C)O.[Na+].[Na+],C19H15N3Na2O8S2,523.4560000000002,-2.95618,188.45,2,10,3,,,,,,,,,,,,,Warning,H351
64417-98-7,6454885,[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[Y+3].[Y+3].[Zr+4].[Zr+4],O7Y2Zr2,472.253,-0.8416,199.5,0,0,0,,,,,,,,,,,,,Warning,"H315, H319"
6443-92-1,643836,CCCCC=CC,C7H14,98.18899999999998,2.752700000000001,0.0,0,0,0,,,,,,,,,,,,,Danger,"H225, H315, H319, H335"
64470-88-8,47455,CCCCOCCOC(=O)COC1=NC(=C(C=C1Cl)Cl)Cl,C13H16Cl3NO4,356.6329999999999,3.780500000000002,57.650000000000006,0,5,1,,,,,370.0,,,7.9e-07,1.0,,,,Warning,"H302, H315, H317, H373, H400, H410"
64485-82-1,6401017,CCOC(=O)C(=NO)C1=CSC(=N1)N,C7H9N3O3S,215.234,0.4667,97.8,2,7,1,,,,,,,,,,,,,Warning,"H302, H312, H315, H319, H332, H335"
645-08-9,12575,COC1=C(C=C(C=C1)C(=O)O)O,C8H8O4,168.14799999999997,1.099,66.76,2,3,1,,,,,,,,,,,,,Warning,"H315, H319, H335"
645-31-8,71564,C1=CC(=C(C=C1CCN)O)O.Br,C8H12BrNO2,234.093,1.1768999999999994,66.48,3,3,1,,,,,,,,,,,,,Warning,"H315, H319, H335"
645-36-3,69524,CCOC(CN)OCC,C6H15NO2,133.19100000000003,0.3442000000000002,44.48,1,3,0,,,,,,,,,,,,,Danger,"H226, H314, H315, H318, H319, H335"
645-41-0,69525,CC(C)CCN(CCC(C)C)CCC(C)C,C15H33N,227.436,4.426700000000004,3.24,0,1,0,,,,,,,,,,,,,Danger,H314
645-49-8,5356785,C1=CC=C(C=C1)C=CC2=CC=CC=C2,C14H12,180.25,3.857000000000003,0.0,0,0,2,,,,,293.0,41.0,,0.00686,,,,,Warning,"H315, H319"
645-62-5,5354264,CCCC=C(CC)C=O,C8H14O,126.19899999999998,2.3218000000000005,17.07,0,1,0,155.0,,,-15.0,347.0,,392.0,1.0,0.857,2.0,2.0,1.0,Danger,"H226, H315, H317, H319, H335, H350, H411, H412"
645-92-1,135408770,C1(=NC(=NC(=O)N1)N)N,C3H5N5O,127.107,-1.6707,110.68,3,5,1,,,,,,,,,,,,,Warning,"H302, H317, H319"
645-93-2,12584,C1(=NC(=O)NC(=O)N1)N,C3H4N4O2,128.09099999999998,-1.9596,104.63,3,4,1,,,,,,,,,,,,,Warning,"H315, H319, H335"
6457-49-4,420771,C1CNCCC1CO,C6H13NO,115.176,-0.0217,32.26,2,2,1,,,,,,,,,,,,,Danger,H314
646-04-8,5326161,CCC=CC,C5H10,70.135,1.9725,0.0,0,0,0,-4.0,,,,36.3,-140.2,,506.0,0.6431,0.0,4.0,0.0,Danger,"H224, H225, H302, H304, H315, H319, H332, H335"
646-07-1,12587,CC(C)CCC(=O)O,C6H12O2,116.15999999999998,1.5072,37.3,1,1,0,,,,,199.0,-33.0,,0.44,0.919,,,,Danger,"H311, H314, H318"
646-19-5,69533,C(CCCN)CCCN,C7H18N2,130.235,0.8543000000000001,52.04,2,2,0,,,,,,,,,,,,,Danger,H314
