CAS,CID,SMILES,Formula,MolWt,LogP,TPSA,NumHDonors,NumHAcceptors,NumRings,FlashPoint_C,LFL_percent,UFL_percent,HeatOfComb_kJ_mol,BoilingPoint_C,MeltingPoint_C,AutoignitionTemp_C,VaporPressure_mmHg,Density_g_cm3,Y_NFPA_Health,Y_NFPA_Fire,Y_NFPA_React,Y_GHS_Signal,Y_GHS_H_Codes
106-35-4,7802,CCCCC(=O)CC,C7H14O,114.188,2.1557,17.07,0,1,0,115.0,1.4,8.8,,297.0,-38.0,,4.0,0.818,2.0,2.0,0.0,Warning,"H226, H303, H305, H315, H319, H320, H332, H335, H336"
106-43-4,7810,CC1=CC=C(C=C1)Cl,C7H7Cl,126.586,2.64842,0.0,0,0,1,49.0,,,-3754.0,162.4,7.5,595.0,2.69,1.0697,,,,Warning,"H226, H317, H320, H331, H332, H360, H400, H401, H411"
106-92-3,7838,C=CCOCC1CO1,C6H10O2,114.144,0.5878,21.76,0,2,1,135.0,,,,309.0,-148.0,264.0,3.6,0.969,,,,Danger,"H226, H302, H313, H315, H317, H318, H319, H330, H331, H332, H335, H336, H341, H351, H361, H370, H372, H402, H412"
107-87-9,7895,CCCC(=O)C,C5H10O,86.134,1.3755,17.07,0,1,0,45.0,1.56,8.7,3099.4,212.0,-108.0,941.0,12.0,0.809,2.0,3.0,0.0,Danger,"H225, H302, H305, H316, H319, H331, H333, H335, H336"
108-48-5,7937,CC1=NC(=CC=C1)C,C7H9N,107.156,1.69844,12.89,0,1,1,33.0,,,,144.0,-5.8,,5.65,0.9252,,,,Warning,"H226, H302, H315, H319, H335"
108-67-8,7947,CC1=CC(=CC(=C1)C)C,C9H12,120.195,2.61186,0.0,0,0,1,122.0,,,,329.0,-49.0,1039.0,2.0,0.86,2.0,2.0,0.0,Warning,"H226, H304, H315, H319, H320, H335, H336, H372, H401, H411"
108-86-1,7961,C1=CC=C(C=C1)Br,C6H5Br,157.01,2.4491,0.0,0,0,1,123.8,,,-8.0,313.0,-24.0,1049.0,5.0,1.49,2.0,2.0,0.0,Warning,"H226, H315, H331, H373, H401, H411"
108-87-2,7962,CC1CCCCC1,C7H14,98.189,2.5866,0.0,0,0,1,25.0,1.1,6.7,4565.3,213.8,-194.8,482.0,83.29,0.77,1.0,3.0,0.0,Danger,"H225, H302, H304, H315, H316, H320, H332, H335, H336, H373, H400, H401, H410, H411"
109-94-4,8025,CCOC=O,C3H6O2,74.079,0.1793,26.3,0,2,0,-4.0,2.8,16.0,-9.0,129.6,-110.0,851.0,200.0,0.922,2.0,3.0,0.0,Danger,"H225, H302, H319, H332, H333, H335, H336, H370"
110-15-6,1110,C(CC(=O)O)C(=O)O,C4H6O4,118.088,-0.0642,74.6,2,2,0,160.0,,,-356.32,455.0,363.0,,1.9e-07,1.572,,,,Danger,"H318, H319"
110-46-3,8053,CC(C)CCON=O,C5H11NO2,117.148,1.7305,38.66,0,3,0,69.0,,,,205.0,,408.0,26.3,0.8528,,,,Danger,"H225, H302, H314, H317, H318, H331, H332, H341, H370, H400, H412"
111-31-9,8106,CCCCCCS,C6H14S,118.245,2.4965,0.0,1,1,0,68.0,,,,304.0,-113.0,,40.0,0.84,,,,Danger,"H225, H226, H302, H312, H315, H319, H331, H332, H335, H370"
111-71-7,8130,CCCCCCC=O,C7H14O,114.188,2.1557,17.07,0,1,0,95.0,,,-1062.4,307.0,-45.0,250.0,3.0,0.8495,,,,Warning,"H226, H315, H319, H320, H335, H401, H411"
112-12-9,8163,CCCCCCCCCC(=O)C,C11H22O,170.296,3.7161,17.07,0,1,0,192.0,,,,231.5,15.0,,0.04,0.826,1.0,2.0,0.0,Warning,H400
112-44-7,8186,CCCCCCCCCCC=O,C11H22O,170.296,3.7161,17.07,0,1,0,,,,,109.0,-4.0,,0.06,0.825,,,,Warning,"H315, H412"
112-54-9,8194,CCCCCCCCCCCC=O,C12H24O,184.323,4.1062,17.07,0,1,0,,,,,185.0,44.5,,0.01,0.826,,,,Warning,"H315, H317, H319, H411"
112-70-9,8207,CCCCCCCCCCCCCO,C13H28O,200.366,4.2897,20.23,1,1,0,250.0,,,,525.0,32.5,260.0,3.62,0.846,0.0,1.0,0.0,Warning,"H315, H318, H319, H400, H410, H412"
118-74-1,8370,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)Cl,C6Cl6,284.784,5.607,0.0,0,0,1,468.0,,,-2372.0,612.0,441.0,,1.0,2.044,1.0,1.0,0.0,Danger,"H303, H332, H350, H351, H360, H362, H372, H373, H400, H410"
119-06-2,8379,CCCCCCCCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCCCCCCC,C34H58O4,530.834,10.6222,52.6,0,4,1,460.0,,,,545.0,-34.6,,,0.951,1.0,1.0,0.0,Warning,"H317, H373"
120-32-1,8425,C1=CC=C(C=C1)CC2=C(C=CC(=C2)Cl)O,C13H11ClO,218.683,3.6364,20.23,1,1,2,370.0,,,,320.0,119.3,,0.1,1.22,,,,Danger,"H302, H315, H317, H318, H332, H335, H351, H361, H371, H372, H373, H400, H410, H411"
120-83-2,8449,C1=CC(=C(C=C1Cl)Cl)O,C6H4Cl2O,163.003,2.699,20.23,1,1,1,237.0,,,,410.0,113.0,500.0,1.0,1.4,0.0,1.0,0.0,Danger,"H300, H302, H311, H314, H318, H331, H335, H336, H370, H401, H410, H411"
120-92-3,8452,C1CCC(=O)C1,C5H8O,84.118,1.1295,17.07,0,1,1,86.0,,,,267.17,-60.3,,11.4,0.94869,2.0,3.0,0.0,Warning,"H226, H302, H315, H319, H332"
121-54-0,8478,CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCC[N+](C)(C)CC2=CC=CC=C2.[Cl-],C27H42ClNO2,448.091,3.0764,18.46,0,2,2,,,,,,327.0,,,,,,,Warning,"H301, H302, H314, H315, H318, H319, H400, H401, H410, H411"
121-57-3,8479,C1=CC(=CC=C1N)S(=O)(=O)O,C6H7NO3S,173.193,0.5155,80.39,2,3,1,,,,,,550.0,,2e-07,1.485,,,,Warning,"H315, H317, H319, H402, H412"
122-11-2,5323,COC1=NC(=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N)OC,C12H14N4O4S,310.335,0.8768,116.43,2,7,2,,,,,,,,,,,,,Warning,"H315, H317, H319, H335"
122-18-9,31202,CCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],C25H46ClN,396.103,4.7483,0.0,0,0,1,,,,,,,,,,,,,Danger,"H302, H312, H314, H318, H330, H372, H400, H401, H410, H411"
122-52-1,31215,CCOP(OCC)OCC,C6H15O3P,166.157,2.3228,27.69,0,3,0,115.0,,,,311.0,-112.0,250.0,1.95,0.969,,,,Warning,"H226, H302, H315, H317, H319, H320, H332, H335, H361, H371, H402, H412"
123-03-5,31239,CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-],C21H38ClN,339.995,3.4594,3.88,0,0,1,,,,,,80.0,,,,,,,Danger,"H301, H302, H315, H318, H319, H330, H335, H400, H410"
123-19-3,31246,CCCC(=O)CCC,C7H14O,114.188,2.1557,17.07,0,1,0,120.0,,,,291.0,-27.0,430.0,5.0,0.82,1.0,2.0,0.0,Warning,"H226, H303, H305, H313, H316, H319, H332, H335, H336"
123-32-0,31252,CC1=CN=C(C=N1)C,C6H8N2,108.144,1.09344,25.78,0,2,1,,,,,154.0,15.0,,1.5,0.982,,,,Warning,"H226, H302"
123-41-1,31255,C[N+](C)(C)CCO.[OH-],C5H15NO2,121.18,-0.4919,50.23,1,2,0,,,,,,,,,,,,,Danger,"H314, H318, H335, H373"
123-56-8,11439,C1CC(=O)NC1=O,C4H5NO2,99.089,-0.577,46.17,1,2,1,,,,,,,,,,,,,Warning,"H315, H319, H335"
123-63-7,31264,CC1OC(OC(O1)C)C,C6H12O3,132.159,1.0878,27.69,0,3,1,96.0,1.3,,-5.0,262.0,54.7,460.0,11.0,0.9943,2.0,3.0,1.0,Warning,"H226, H315, H319, H370, H372"
124-17-4,31288,CCCCOCCOCCOC(=O)C,C10H20O4,204.266,1.3828,44.76,0,4,0,240.0,0.8,5.0,,475.0,-27.0,563.0,0.04,0.985,1.0,1.0,0.0,Warning,H319
124-20-9,1102,C(CCNCCCN)CN,C7H19N3,145.25,-0.3363,64.07,3,3,0,,,,,,25.0,,,,,,,Danger,"H314, H318"
124-30-1,15793,CCCCCCCCCCCCCCCCCCN,C18H39N,269.517,6.2066,26.02,1,1,0,300.0,,,,660.0,120.0,,4.38e-05,0.8618,,,,Danger,"H302, H304, H314, H315, H318, H319, H336, H373, H400, H410"
124-43-6,31294,C(=O)(N)N.OO,CH6N2O3,94.07,-0.9588,109.57,4,3,0,,,,,,167.0,680.0,,0.8,,,,Danger,"H272, H302, H314, H315, H318, H335"
124-65-2,2724247,C[As](=O)(C)[O-].[Na+],C2H6AsNaO2,159.98,-3.517,40.13,0,2,0,,,,,,140.0,,3e-08,1.0,,,,Danger,"H301, H331, H400, H410"
124-87-8,31304,CC(=C)C1C2C3C4(C(C1C(=O)O2)(CC5C4(O5)C(=O)O3)O)C.CC12C3C4C(C(C1(CC5C2(O5)C(=O)O3)O)C(=O)O4)C(C)(C)O,C30H34O13,602.589,-0.9292,190.95,3,13,10,,,,,,397.0,,,,,,,Danger,H300
124-94-7,31307,CC12CC(C3(C(C1CC(C2(C(=O)CO)O)O)CCC4=CC(=O)C=CC43C)F)O,C21H27FO6,394.439,0.6205,115.06,4,6,4,,,,,,269.0,,7.2,,,,,Warning,"H351, H361"
126-07-8,441140,CC1CC(=O)C=C(C12C(=O)C3=C(O2)C(=C(C=C3OC)OC)Cl)OC,C17H17ClO6,352.77,2.8103,71.06,0,6,3,,,,,,428.0,,,,,,,Danger,"H317, H340, H351, H360, H371, H373"
126-11-4,31337,C(C(CO)(CO)[N+](=O)[O-])O,C4H9NO5,151.118,-2.0212,103.83,3,5,0,,,,,,214.0,,1.54e-06,,,,,Warning,"H302, H315, H319, H332, H335, H400, H410"
126-92-1,24181097,CCCCC(CC)COS(=O)(=O)O.[Na],C8H18NaO4S,233.285,1.6414,63.6,1,3,0,200.0,,,,205.0,,,22.5,1.114,,,,Danger,"H228, H315, H318, H335"
127-31-1,31378,CC12CCC(=O)C=C1CCC3C2(C(CC4(C3CCC4(C(=O)CO)O)C)O)F,C21H29FO5,380.456,1.8737,94.83,3,5,4,,,,,,,,,,,,,Warning,"H302, H312, H315, H319, H332, H335, H361"
127-41-3,5282108,CC1=CCCC(C1C=CC(=O)C)(C)C,C13H20O,192.302,3.5141,17.07,0,1,1,118.0,,,,258.0,,,0.019,0.9319,0.0,1.0,0.0,Danger,"H315, H317, H334"
127-58-2,15899899,CC1=NC(=NC=C1)[N-]S(=O)(=O)C2=CC=C(C=C2)N.[Na+],C11H11N4NaO2S,286.292,-1.23468,100.04,1,5,2,,,,,,,,,,,,,Warning,"H302, H315, H319, H332"
127-65-1,3641960,CC1=CC=C(C=C1)S(=O)(=O)[N-]Cl.[Na+],C7H7ClNNaO2S,227.648,-0.78478,48.24,0,2,1,192.0,,,,,170.0,,,1.4,,,,Danger,"H302, H314, H317, H318, H334"
127-68-4,31389,C1=CC(=CC(=C1)S(=O)(=O)[O-])[N+](=O)[O-].[Na+],C6H4NNaO5S,225.157,-2.4971,100.34,0,5,1,,,,,,,,,,,,,Warning,"H317, H319"
128-13-2,31401,CC(CCC(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C,C24H40O4,392.58,4.4779,77.76,3,3,4,,,,,,200.0,,,,,,,Warning,"H315, H319"
129-20-4,4641,CCCCC1C(=O)N(N(C1=O)C2=CC=C(C=C2)O)C3=CC=CC=C3,C19H20N2O3,324.38,3.4934,60.85,1,3,3,,,,,,,,,,,,,Warning,"H302, H400"
129-43-1,8512,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=CC=C3)O,C14H8O3,224.215,2.1676,54.37,1,3,3,,,,,,193.8,,2.1e-07,,,,,Warning,"H319, H320, H351"
129-46-4,8514,CC1=C(C=C(C=C1)C(=O)NC2=C3C(=CC(=CC3=C(C=C2)S(=O)(=O)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-])NC(=O)C4=CC(=CC=C4)NC(=O)NC5=CC=CC(=C5)C(=O)NC6=C(C=CC(=C6)C(=O)NC7=C8C(=CC(=CC8=C(C=C7)S(=O)(=O)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-])C.[Na+].[Na+].[Na+].[Na+].[Na+].[Na+],C51H34N6Na6O23S6,1429.194,-13.28836,500.73,6,23,8,,,,,,,,,,,,,Warning,H317
130-13-2,23665720,C1=CC=C2C(=C1)C(=CC=C2S(=O)(=O)[O-])N.[Na+],C10H8NNaO3S,245.235,-1.6699,83.22,1,4,2,,,,,,,,,,,,,Warning,"H315, H319"
130-26-7,2788,C1=CC2=C(C(=C(C=C2Cl)I)O)N=C1,C9H5ClINO,305.502,3.1984,33.12,1,2,2,,,,,,352.0,,,,,,,Danger,"H301, H315, H319, H335, H361, H372, H400"
130-37-0,23665888,CC1(CC(=O)C2=CC=CC=C2C1=O)S(=O)(=O)[O-].[Na+],C11H9NaO5S,276.245,-2.2364,91.34,0,5,2,,,,,,,,,,,,,Warning,"H315, H319, H335, H400, H410"
130-89-2,91558,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O.Cl,C20H25ClN2O2,360.885,3.595,45.59,1,4,5,,,,,,,,,,,,,Warning,"H302, H312, H317, H332, H334"
130-95-0,3034034,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O,C20H24N2O2,324.424,3.1732,45.59,1,4,5,,,,,,177.0,,,,,,,Danger,"H302, H315, H317, H319, H334"
131-48-6,445063,CC(=O)NC1C(CC(OC1C(C(CO)O)O)(C(=O)O)O)O,C11H19NO9,309.271,-3.8718,176.78,7,8,1,,,,,,186.0,,,,,,,Warning,H319
131-53-3,8569,COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2O)O,C14H12O4,244.246,2.3374,66.76,2,4,2,,,,,338.0,68.0,,,1.39,,,,Warning,"H315, H319, H335"
131-56-6,8572,C1=CC=C(C=C1)C(=O)C2=C(C=C(C=C2)O)O,C13H10O3,214.22,2.3288,57.53,2,3,2,,,,,194.0,144.0,,,5.8,,,,Warning,"H315, H319, H335"
131-91-9,8580,C1=CC=C2C(=C1)C=CC(=C2N=O)O,C10H7NO2,173.171,2.9433,49.66,1,3,2,,,,,,,,9.11e-05,,,,,Warning,"H302, H315, H319, H335, H400"
132-18-3,66063,CN1CCC(CC1)OC(C2=CC=CC=C2)C3=CC=CC=C3.Cl,C19H24ClNO,317.86,4.3086,12.47,0,2,3,,,,,,,,,,,,,Warning,H302
132-27-4,23675735,C1=CC=C(C=C1)C2=CC=CC=C2[O-].[Na+],C12H9NaO,192.193,-0.5688,23.06,0,1,2,,,,,,,,,,,,,Danger,"H251, H302, H314, H315, H318, H335, H336, H341, H351, H400, H401, H410, H411"
132-60-5,8593,C1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=C2)C(=O)O,C16H11NO2,249.269,3.6,50.19,1,2,3,,,,,,218.0,,,,,,,Warning,H302
132-69-4,65464,CN(C)CCCOC1=NN(C2=CC=CC=C21)CC3=CC=CC=C3.Cl,C19H24ClN3O,345.874,3.8369,30.29,0,4,3,,,,,,,,,,,,,Warning,"H302, H319"
132-86-5,8601,C1=CC=C2C(=C1)C=C(C=C2O)O,C10H8O2,160.172,2.251,40.46,2,2,2,,,,,,,,7.15e-06,,,,,Warning,"H315, H319, H335, H341"
133-51-7,64953,CNCC(C(C(C(CO)O)O)O)O.O[Sb](=O)=O,C7H18NO8Sb,365.98,-4.5337,167.55,7,8,0,,,,,,,,,,,,,Warning,"H302, H332, H411"
133-53-9,8621,CC1=CC(=C(C(=C1Cl)C)Cl)O,C8H8Cl2O,191.057,3.31584,20.23,1,1,1,,,,,,95.0,,,,,,,Warning,"H302, H312, H315, H318, H319"
133-90-4,8630,C1=C(C=C(C(=C1C(=O)O)Cl)N)Cl,C7H5Cl2NO2,206.028,2.2738,63.32,2,2,1,,,,,,381.0,,0.007,,,,,Danger,"H315, H319, H335, H350"
134-20-3,8635,COC(=O)C1=CC=CC=C1N,C8H9NO2,151.165,1.0554,52.32,1,3,1,220.0,,,,493.0,75.0,,0.02,1.1682,1.0,1.0,0.0,Warning,H319
134-29-2,8638,COC1=CC=CC=C1N.Cl,C7H10ClNO,159.616,1.6992,35.25,1,2,1,,,,,,437.0,,,,,,,Danger,"H301, H311, H319, H331, H341, H350, H351, H371, H373"
134-31-6,517000,C1=CC2=C(C(=C1)O)N=CC=C2.C1=CC2=C(C(=C1)O)N=CC=C2.OS(=O)(=O)O,C18H16N2O6S,388.401,3.228,140.84,4,6,4,,,,,,333.0,,,,,,,Danger,"H302, H317, H318, H361"
134-72-5,5359318,CC(C(C1=CC=CC=C1)O)NC.CC(C(C1=CC=CC=C1)O)NC.OS(=O)(=O)O,C20H32N2O6S,428.551,2.003,139.12,6,6,2,,,,,,473.0,,,,,,,Danger,"H301, H302, H317"
134-80-5,91442,CCN(CC)C(C)C(=O)C1=CC=CC=C1.Cl,C13H20ClNO,241.762,3.0214,20.31,0,2,1,,,,,,,,,,,,,Danger,"H302, H312, H332, H360"
135-09-1,3647,C1NC2=C(C=C(C(=C2)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N1,C8H8F3N3O4S2,331.297,0.0141,118.36,3,5,2,,,,,,272.0,,,,,,,Danger,"H317, H334"
135-19-3,8663,C1=CC=C2C=C(C=CC2=C1)O,C10H8O,144.173,2.5454,20.23,1,1,2,152.7,,,,285.0,121.6,550.0,9.9,1.28,0.0,1.0,0.0,Warning,"H302, H317, H318, H319, H332, H335, H370, H371, H372, H373, H400, H401, H410, H412"
135-98-8,8680,CCC(C)C1=CC=CC=C1,C10H14,134.222,3.2001,0.0,0,0,1,126.0,,,,173.5,-82.7,,1.75,0.858,1.0,2.0,0.0,Warning,"H226, H304, H315, H319, H411"
136-47-0,8695,CCCCNC1=CC=C(C=C1)C(=O)OCCN(C)C.Cl,C15H25ClN2O2,300.83,3.0388,41.57,1,4,1,,,,,,,,,,,,,Danger,"H301, H317, H319"
137-05-3,8711,COC(=O)C(=C)C#N,C5H5NO2,111.1,0.23918,50.09,0,3,0,174.0,,,,117.0,-40.0,,0.2,1.1044,,,,Warning,"H227, H302, H315, H317, H319, H320, H330, H334, H335"
137-09-7,8715,C1=CC(=C(C=C1N)N)O.Cl.Cl,C6H10Cl2N2O,197.065,1.4002,72.27,3,3,1,,,,,,432.0,,,,,,,Warning,"H301, H302, H315, H317, H319, H334, H335, H373"
137-16-6,23668817,CCCCCCCCCCCC(=O)N(C)CC(=O)[O-].[Na+],C15H28NNaO3,293.383,-0.8804,60.44,0,3,0,,,,,,,,0.02,,,,,Danger,"H315, H318, H319, H330"
137-58-6,3676,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,C14H22N2O,234.343,2.58374,32.34,1,2,1,,,,,159.0,68.0,,,,,,,Warning,"H302, H317, H362, H370, H372"
137-66-6,54680660,CCCCCCCCCCCCCCCC(=O)OCC(C1C(=C(C(=O)O1)O)O)O,C22H38O7,414.539,4.6248,113.29,3,7,1,,,,,,107.0,,,,,,,Warning,"H319, H412"
138-24-9,67309,C[N+](C)(C)C1=CC=CC=C1.[Cl-],C9H14ClN,171.671,-1.1127,0.0,0,0,1,,,,,,,,,,,,,Danger,"H301, H311"
138-84-1,23663628,C1=CC(=CC=C1C(=O)[O-])N.[K+],C7H6KNO2,175.228,-3.3637,66.15,1,3,1,,,,,,,,,,,,,Warning,"H315, H319, H335"
139-02-6,66602278,C1=CC=C(C=C1)O.[Na],C6H6NaO,117.103,1.0114,20.23,1,1,1,,,,,,384.0,,3e-08,,,,,Danger,H314
139-05-9,23665706,C1CCC(CC1)NS(=O)(=O)[O-].[Na+],C6H12NNaO3S,201.223,-2.6271,69.23,1,3,1,,,,,,509.0,,,,,,,Warning,H302
139-40-2,4937,CC(C)NC1=NC(=NC(=N1)Cl)NC(C)C,C9H16ClN5,229.715,2.1656,62.73,2,5,1,,,,,,229.7,,1.3e-07,1.162,,,,Warning,"H320, H351, H400, H410"
140-01-2,8779,C(CN(CC(=O)[O-])CC(=O)[O-])N(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-].[Na+].[Na+].[Na+].[Na+].[Na+],C14H18N3Na5O10,503.259,-24.3381,210.37,0,13,0,,,,,,,,,,,,,Warning,"H315, H319, H332, H360, H361, H371, H372, H373"
140-10-3,444539,C1=CC=C(C=C1)C=CC(=O)O,C9H8O2,148.161,1.7844,37.3,1,1,1,,,,,298.0,133.0,,,,,,,Warning,"H315, H319, H335"
140-22-7,8789,C1=CC=C(C=C1)NNC(=O)NNC2=CC=CC=C2,C13H14N4O,242.282,2.3398,65.19,4,3,2,,,,,,,,,,,,,Warning,"H315, H319, H335"
140-40-9,8798,CC(=O)NC1=NC=C(S1)[N+](=O)[O-],C5H5N3O3S,187.18,1.0097,85.13,1,5,1,,,,,,,,,,,,,Warning,H302
140-53-4,241582,C1=CC(=CC=C1CC#N)Cl,C8H6ClN,151.596,2.40608,23.79,0,1,1,,,,,,,,0.01,,,,,Danger,"H300, H301, H311, H315, H319, H331, H335"
140-79-4,8819,C1CN(CCN1N=O)N=O,C4H8N4O2,144.134,-0.0332,65.34,0,4,1,,,,,,158.0,,0.00019,,,,,Danger,"H301, H315, H319, H335, H350"
140-93-2,23690438,CC(C)OC(=S)[S-].[Na+],C4H7NaOS2,158.223,-1.7528,9.23,0,3,0,,,,,,,,,,,,,Danger,"H228, H251, H302, H311, H314, H315, H317, H318, H361, H373, H411, H412"
141-01-5,6433164,C(=CC(=O)[O-])C(=O)[O-].[Fe+2],C4H2FeO4,169.901,-2.9601,80.26,0,4,0,,,,,,,,,,,,,,H412
141-75-3,8855,CCCC(=O)Cl,C4H7ClO,106.552,1.5519,17.07,0,1,0,71.0,,,,216.0,-128.0,,18.8,1.0277,,,,Danger,"H225, H290, H302, H314, H318, H331"
142-04-1,8870,C1=CC=C(C=C1)N.Cl,C6H8ClN,129.59,1.6906,26.02,1,1,1,380.0,,,,473.0,388.0,,,1.2215,,,,Warning,"H301, H302, H311, H315, H317, H318, H319, H331, H335, H341, H350, H351, H361, H370, H371, H372, H373, H400"
142-26-7,8880,CC(=O)NCCO,C4H9NO2,103.121,-0.8852,49.33,2,2,0,176.6,,,,166.0,63.0,860.0,0.001,1.1079,1.0,1.0,0.0,Danger,"H315, H318, H335"
142-71-2,8895,CC(=O)[O-].CC(=O)[O-].[Cu+2],C4H6CuO4,181.634,-2.4901,80.26,0,4,0,,,,,,239.0,,,1.9,,,,Danger,"H301, H302, H311, H314, H318, H335, H370, H372, H400, H410, H411, H412"
142-88-1,8905,C1CNCCN1.C(CCC(=O)O)CC(=O)O,C10H20N2O4,232.28,-0.1048,98.66,4,4,1,,,,,,482.0,,,,,,,Danger,"H314, H315, H317, H319, H334, H335, H361, H370, H373, H412"
142-90-5,8906,CCCCCCCCCCCCOC(=O)C(=C)C,C16H30O2,254.414,5.0266,26.3,0,2,0,230.0,,,,142.0,-8.0,296.0,0.00118,0.868,,,,Warning,"H315, H319, H320, H335, H400, H410"
143-27-1,8926,CCCCCCCCCCCCCCCCN,C16H35N,241.463,5.4264,26.02,1,1,0,285.0,,,,613.0,115.2,,,0.8129,,,,Danger,"H302, H304, H314, H318, H335, H373, H400, H410"
143-33-9,8929,[C-]#N.[Na+],CNNa,49.008,-2.89963,23.79,0,1,0,1998.0,,,,2725.0,1047.0,1999.0,1.0,1.6,3.0,0.0,0.0,Danger,"H290, H300, H310, H315, H316, H318, H319, H330, H361, H372, H400, H410"
143-66-8,2723787,[B-](C1=CC=CC=C1)(C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.[Na+],C24H20BNa,342.226,0.068,0.0,0,0,4,,,,,,,,,,,,,Danger,"H301, H315, H319, H335"
143-67-9,5388983,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O.OS(=O)(=O)O,C46H60N4O13S,909.068,3.3381,228.7,5,14,9,,,,,,543.0,,,,,,,Danger,"H302, H315, H318, H335"
144-02-5,23681217,CCC1(C(=O)NC(=NC1=O)[O-])CC.[Na+],C8H11N2NaO3,206.177,-3.8305,81.59,1,3,1,,,,,,,,,,,,,Warning,H302
144-74-1,12285822,C1=CC(=CC=C1N)S(=O)(=O)[N-]C2=NC=CS2.[Na+],C9H8N3NaO2S2,277.306,-0.8766,87.15,1,5,2,,,,,,,,,,,,,Warning,"H315, H319, H335"
144-80-9,5320,CC(=O)NS(=O)(=O)C1=CC=C(C=C1)N,C8H10N2O3S,214.246,0.0936,89.26,2,4,1,,,,,,360.0,,,,,,,Warning,"H317, H335, H341"
144-82-1,5328,CC1=NN=C(S1)NS(=O)(=O)C2=CC=C(C=C2)N,C9H10N4O2S2,270.339,1.22952,97.97,2,6,2,,,,,,406.0,,,,,,,Warning,H317
144-83-2,5336,C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N,C11H11N3O2S,249.295,1.4646,85.08,2,4,2,,,,,,376.0,,,,,,,Danger,"H300, H317, H360, H361, H370, H411"
146-22-5,4506,C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3,C15H11N3O3,281.271,2.3843,84.6,1,4,3,,,,,,225.0,,,,,,,Warning,H302
147-24-0,8980,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2.Cl,C17H22ClNO,291.822,3.776,12.47,0,2,2,,,,,,331.0,,,,,,,Danger,"H302, H361, H362, H370, H372, H373"
147-94-4,6253,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O,C9H13N3O5,243.219,-2.563,130.83,4,8,2,,,,,,414.0,,,,,,,Danger,"H317, H340, H360, H361"
148-01-6,3092,CC1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])C(=O)N,C8H7N3O5,225.16,0.91032,129.37,1,5,1,,,,,,351.0,,7e-08,,,,,Warning,"H302, H315"
148-03-8,6857447,CC1=CC(=C(C2=C1OC(CC2)(C)CCCC(C)CCCC(C)CCCC(C)C)C)O,C28H48O2,416.69,8.53184,29.46,1,2,2,,,,,,25.0,,,,,,,Warning,"H302, H315, H319, H335"
148-18-5,533728,CCN(CC)C(=S)[S-].[Na+],C5H10NNaS2,171.266,-1.836,3.24,0,2,0,,,,,,203.0,,,1.1,,,,Warning,"H302, H315, H319, H335, H400, H410"
148-24-3,1923,C1=CC2=C(C(=C1)O)N=CC=C2,C9H7NO,145.161,1.9404,33.12,1,2,2,,,,,513.0,169.0,,0.0016,1.034,,,,Danger,"H301, H302, H311, H317, H318, H320, H360, H361, H400, H410"
148-72-1,657349,CCC1C(COC1=O)CC2=CN=CN2C.[N+](=O)(O)[O-],C11H17N3O5,271.273,0.8141,107.49,1,6,2,,,,,,,,,,,,,Danger,"H300, H330"
149-44-0,24181102,C(O)S(=O)O.[Na],CH4NaO3S,119.097,-1.2229,57.53,2,2,0,,,,,,63.0,,,,,,,Warning,"H341, H361"
149-73-5,9005,COC(OC)OC,C4H10O3,106.121,0.2092,27.69,0,3,0,,,,,100.6,,,81.4,0.9676,,,,Danger,"H225, H319, H332, H335"
149-91-7,370,C1=C(C=C(C(=C1O)O)O)C(=O)O,C7H6O5,170.12,0.5016,97.99,4,4,1,,,,,1992.0,432.0,,1.2e-07,1.7,,,,Danger,"H315, H318, H319, H335"
